Longitude,Latitude,Cloud_Cover_Percentage,Diurnal_Temp_Range,Frost_Days,Evapotranspiration,Precipitation_Amount,Mean_Temp,Vapor_Pressure,Wet_Days_Count,elevation,Buffalo_Population,Cattle_Population,lumpy
15.95,-17.48,70.0,13.1,0.0,4.3,104.0,25.1,16.3,1.2149850685938726,182,2020.265911,0.0,1
16.28,-17.51,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
15.87,-17.48,70.0,13.1,0.0,4.3,104.0,25.1,16.3,1.2149850685938726,182,2020.265911,0.0,1
16.37,-18.17,66.3,13.3,0.0,4.4,108.0,25.8,17.8,1.2711498482847257,183,1855.0008,0.0,1
20.18,-17.89,67.5,11.9,0.0,3.8,167.2,24.4,22.1,1.3317001865888116,183,118.4295612,0.0,1
18.5,-18.07,66.3,12.7,0.0,4.0,143.0,25.4,20.4,1.3175784627240252,183,295.0583533,0.0,1
49.68818,52.980902,70.8,6.5,31.0,0.1,41.0,-12.0,2.2,1.360352775233472,158,170.7139539,0.001472443,1
49.602486,52.950457,70.8,6.5,31.0,0.1,41.0,-12.0,2.2,1.360352775233472,158,170.7139539,0.001472443,1
49.02,53.42,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
50.643142,53.233671,70.7,6.4,31.0,0.2,43.1,-12.6,2.0,1.368263661616458,147,197.8194671,0.004234842,1
50.652361,53.079425,70.7,6.4,31.0,0.2,43.1,-12.6,2.0,1.368263661616458,147,197.8194671,0.004234842,1
48.858764,53.507068,71.2,6.0,31.0,0.1,45.9,-12.1,2.3,1.396891972405448,150,222.8317263,0.000149522,1
63.664276,54.568605,38.3,8.7,31.0,0.1,5.1,-18.3,1.3,0.9457899081301373,155,123.2178945,0.000314604,1
49.056908,53.394898,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
49.445011,53.087542,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
19.122602,43.155515,76.9,6.0,26.87,0.8,52.7,-2.6,3.4,1.1965152149051772,184,645.6373083,0.0,1
19.107739,42.553753,76.3,6.0,26.09,0.9,73.1,-1.8,3.5,1.2121951086795644,176,394.7467143,0.0,1
19.785956,42.736248,78.7,5.8,27.59,0.9,65.2,-3.5,2.8,1.218561882608,157,548.1908323,0.0,1
19.756191,43.036942,79.9,6.1,25.57,0.7,51.7,-1.2,4.1,1.1913507236529879,186,363.4449205,0.0,1
19.860373,42.837934,78.7,5.8,27.59,0.9,65.2,-3.5,2.8,1.218561882608,157,548.1908323,0.0,1
19.583587,42.960077,78.7,5.8,27.59,0.9,65.2,-3.5,2.8,1.218561882608,157,548.1908323,0.0,1
19.940754,42.600134,78.7,5.8,27.59,0.9,65.2,-3.5,2.8,1.218561882608,157,548.1908323,0.0,1
19.259364,42.43042,71.8,7.0,13.65,0.8,121.5,5.1,6.4,1.2158154693203609,147,0.0,0.0,1
19.524081,42.820475,78.7,5.8,27.59,0.9,65.2,-3.5,2.8,1.218561882608,157,548.1908323,0.0,1
18.841038,43.154137,75.4,6.0,26.77,0.8,55.8,-2.5,3.4,1.202447493553479,205,0.0,0.0,1
19.094363,42.95778,76.3,6.0,26.09,0.9,73.1,-1.8,3.5,1.2121951086795644,176,394.7467143,0.0,1
20.167063,42.840839,81.1,5.8,26.19,0.7,46.1,-2.0,4.0,1.1857547433260078,176,1079.566566,0.0,1
18.956166,42.780473,73.3,6.1,24.82,0.8,83.2,-0.5,4.1,1.2105046879842065,186,394.3600409,0.0,1
56.535,51.783,57.5,8.7,31.0,0.2,13.9,-15.9,1.5,1.1757923457184887,170,504.5607113,0.001951554,1
56.10634,51.879006,58.7,8.5,31.0,0.2,14.7,-15.3,1.5,1.1806656365699857,155,292.3773899,0.000759496,1
19.44,-28.69,26.6,16.6,0.0,7.3,16.3,27.5,13.5,0.9755016120124196,155,36.30591556,0.0,1
49.214036,53.878185,71.3,6.0,31.0,0.1,44.7,-12.0,2.2,1.4153554439561449,148,226.2195144,0.00409997,1
15.69,-20.44,57.5,14.7,0.0,4.9,83.0,24.4,15.2,1.2689813962850498,169,200.1550243,0.0,1
14.0,-18.19,67.5,8.9,0.0,3.8,74.0,18.9,13.5,1.1622831138840004,192,353.3403055,0.0,1
14.81,-19.31,62.5,11.3,0.0,4.4,69.0,21.8,14.1,1.223156202527103,184,168.926649,0.0,1
18.19,-25.19,36.3,14.8,0.0,6.7,39.0,27.6,14.1,1.1035676640041991,181,68.6338855,0.0,1
18.19,-26.69,34.8,15.9,0.0,7.2,33.0,27.6,13.3,1.1040095193051445,161,19.48375335,0.0,1
16.33,-17.51,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
15.94,-17.79,67.5,12.8,0.0,4.4,108.0,25.2,17.3,1.2336131630670324,183,4374.078665,0.0,1
17.31,-18.44,66.3,13.5,0.0,4.3,123.0,26.0,18.8,1.297534056720424,182,651.9004256,0.0,1
16.72,-18.31,66.3,13.5,0.0,4.4,116.0,25.8,18.0,1.2857543837624197,184,679.9369046,0.0,1
53.762398,53.982737,65.5,7.6,31.0,0.2,28.1,-14.7,1.6,1.3184461030657697,159,435.5378945,0.001359374,1
21.4578,39.2956,56.8,8.0,15.26,0.8,122.3,5.0,6.5,1.2764788121973367,203,116.2324535,2.29e-11,1
47.044996,50.723132,72.8,6.8,30.86,0.2,35.9,-9.1,2.8,1.2810630011272992,150,225.2605173,0.000317444,1
43.64954,51.109974,77.8,6.0,30.82,0.2,48.8,-9.3,2.8,1.265466690616117,157,249.2826187,0.000180705,1
50.775044,53.70315,67.2,6.3,31.0,0.1,47.0,-12.9,2.0,1.3807986217499035,144,224.6525478,0.001929675,1
49.562929,52.992708,70.8,6.5,31.0,0.1,41.0,-12.0,2.2,1.360352775233472,158,170.7139539,0.001472443,1
16.69,-18.56,63.8,14.0,0.0,4.5,111.0,26.1,18.0,1.299436119654042,181,0.0,0.0,1
16.2,-17.97,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
15.81,-17.56,67.5,12.8,0.0,4.4,108.0,25.2,17.3,1.2336131630670324,183,4374.078665,0.0,1
16.5,-18.4,66.3,13.5,0.0,4.4,116.0,25.8,18.0,1.2857543837624197,184,679.9369046,0.0,1
16.56,-18.06,66.3,13.5,0.0,4.4,116.0,25.8,18.0,1.2857543837624197,184,679.9369046,0.0,1
16.46,-18.45,66.3,13.3,0.0,4.4,108.0,25.8,17.8,1.2711498482847257,183,1855.0008,0.0,1
16.02,-17.87,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
16.12,-17.92,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
19.31,-17.81,67.5,12.4,0.0,3.9,152.0,24.8,20.7,1.3244216010240857,184,243.3585319,0.0,1
16.32,-18.45,66.3,13.3,0.0,4.4,108.0,25.8,17.8,1.2711498482847257,183,1855.0008,0.0,1
16.18,-17.73,67.5,13.1,0.0,4.3,112.0,25.6,17.8,1.2531731562823427,182,2046.742155,0.0,1
16.72,-18.31,66.3,13.5,0.0,4.4,116.0,25.8,18.0,1.2857543837624197,184,679.9369046,0.0,1
18.31,-19.81,63.8,12.6,0.0,4.2,125.0,24.3,17.2,1.3358849867248124,178,279.8628121,0.0,1
18.81,-21.06,60.0,13.7,0.0,4.6,93.0,25.1,17.1,1.3050429528286707,191,320.6507895,0.0,1
18.14,-21.04,60.0,13.8,0.0,4.6,92.0,24.8,15.9,1.3105061862047918,192,325.0451996,0.0,1
19.94,-17.94,67.5,12.2,0.0,3.9,157.0,24.5,21.1,1.3294115989290574,181,154.5152331,0.0,1
19.69,-18.06,66.3,12.2,0.0,4.0,146.8,25.2,21.6,1.3250938323847523,184,272.3035181,0.0,1
